Player Name,Ranking
Connor McDavid Edm - C,1
Nikita Kucherov TB - RW,2
Alex Ovechkin Was - LW,3
Sidney Crosby Pit - C,4
Brad Marchand Bos - LW,5
Patrik Laine Wpg - RW,6
Patrick Kane Chi - RW,7
Nathan MacKinnon Col - C,8
John Tavares Tor - C,9
Auston Matthews Tor - C,10
Tyler Seguin Dal - C,11
Andrei Vasilevskiy TB - G,12
Evgeni Malkin Pit - C,13
David Pastrnak Bos - RW,14
"Jamie Benn Dal - C,LW",15
Taylor Hall NJ - LW,16
Steven Stamkos TB - C,17
Pekka Rinne Nsh - G,18
"Blake Wheeler Wpg - C,RW",19
Brent Burns SJ - D,20
"Claude Giroux Phi - C,LW",21
Victor Hedman TB - D,22
Connor Hellebuyck Wpg - G,23
Braden Holtby Was - G,24
Sergei Bobrovsky Cls - G,25
Johnny Gaudreau Cgy - LW,26
Vladimir Tarasenko StL - RW,27
Artemi Panarin Cls - LW,28
Evgeny Kuznetsov Was - C,29
Erik Karlsson SJ - D,30
Phil Kessel Pit - RW,31
Tuukka Rask Bos - G,32
Anze Kopitar LA - C,33
Jonathan Quick LA - G,34
Filip Forsberg Nsh - LW,35
Frederik Andersen Tor - G,36
Mitchell Marner Tor - RW,37
Dustin Byfuglien Wpg - D,38
Patrice Bergeron Bos - C,39
Martin Jones SJ - G,40
Jack Eichel Buf - C,41
Mark Scheifele Wpg - C,42
"Leon Draisaitl Edm - C,RW",43
Marc-Andre Fleury VGK - G,44
Carey Price Mon - G,45
Mathew Barzal NYI - C,46
Aleksander Barkov Fla - C,47
Evander Kane SJ - LW,48
"Joe Pavelski SJ - C,RW",49
John Gibson Anh - G,50
Jakub Voracek Phi - RW,51
Drew Doughty LA - D,52
Alexander Radulov Dal - RW,53
Seth Jones Cls - D,54
Ben Bishop Dal - G,55
"Jonathan Marchessault VGK - C,LW",56
"Nikolaj Ehlers Wpg - LW,RW",57
P.K. Subban Nsh - D,58
Roman Josi Nsh - D,59
Nicklas Backstrom Was - C,60
Matt Murray Pit - G,61
"William Karlsson VGK - C,LW",62
Mikko Rantanen Col - RW,63
"Sebastian Aho Car - C,LW",64
Brock Boeser Van - RW,65
Shayne Gostisbehere Phi - D,66
Devan Dubnyk Min - G,67
John Klingberg Dal - D,68
"Rickard Rakell Anh - LW,RW",69
Viktor Arvidsson Nsh - RW,70
Cam Talbot Edm - G,71
"Clayton Keller Ari - LW,RW",72
"Ilya Kovalchuk LA - LW,RW",73
Torey Krug Bos - D,74
Kris Letang Pit - D,75
Matthew Tkachuk Cgy - LW,76
"Logan Couture SJ - C,LW",77
Ryan Getzlaf Anh - C,78
Jake Allen StL - G,79
"Mikael Granlund Min - C,RW",80
Jonathan Huberdeau Fla - LW,81
Vincent Trocheck Fla - C,82
John Carlson Was - D,83
"William Nylander Tor - C,RW",84
Dougie Hamilton Car - D,85
James van Riemsdyk Phi - LW,86
Sean Monahan Cgy - C,87
Matt Dumba Min - D,88
Tyson Barrie Col - D,89
Wayne Simmonds Phi - RW,90
Max Pacioretty VGK - LW,91
Alex Pietrangelo StL - D,92
Kyle Connor Wpg - LW,93
Jeff Skinner Buf - LW,94
Brayden Schenn StL - C,95
Zach Werenski Cls - D,96
Gabriel Landeskog Col - LW,97
"Mike Hoffman Fla - LW,RW",98
Aaron Ekblad Fla - D,99
Patric Hornqvist Pit - RW,100
Keith Yandle Fla - D,101
Henrik Lundqvist NYR - G,102
Morgan Rielly Tor - D,103
Rasmus Dahlin Buf - D,104
Ryan Ellis Nsh - D,105
Oliver Ekman-Larsson Ari - D,106
Mark Giordano Cgy - D,107
Rasmus Ristolainen Buf - D,108
Charlie McAvoy Bos - D,109
Mike Smith Cgy - G,110
Jake Guentzel Pit - LW,111
Ivan Provorov Phi - D,112
Martin Marincin Tor - D,113
"Reilly Smith VGK - LW,RW",114
Mikhail Sergachev TB - D,115
Ryan Suter Min - D,116
"Yanni Gourde TB - C,RW",117
Cam Atkinson Cls - RW,118
T.J. Oshie Was - RW,119
Corey Crawford Chi - G,120
Semyon Varlamov Col - G,121
"Teuvo Teravainen Car - LW,RW",122
"Alex DeBrincat Chi - LW,RW",123
Jake Muzzin LA - D,124
Cory Schneider NJ - G,125
Brayden Point TB - C,126
"Evgenii Dadonov Fla - LW,RW",127
Roberto Luongo Fla - G,128
Brandon Montour Anh - D,129
Jake Gardiner Tor - D,130
Sean Couturier Phi - C,131
Antti Raanta Ari - G,132
Colton Parayko StL - D,133
Nick Leddy NYI - D,134
Will Butcher NJ - D,135
Eric Staal Min - C,136
Kevin Shattenkirk NYR - D,137
"Jason Zucker Min - LW,RW",138
Jeff Carter LA - C,139
Jonathan Toews Chi - C,140
Ryan Pulock NYI - D,141
Ryan Johansen Nsh - C,142
Jaden Schwartz StL - LW,143
"Ryan Nugent-Hopkins Edm - C,LW",144
"Pierre-Luc Dubois Cls - C,LW",145
Duncan Keith Chi - D,146
Corey Perry Anh - RW,147
Dylan Larkin Det - C,148
Carter Hutton Buf - G,149
Nazem Kadri Tor - C,150
Erik Johnson Col - D,151
Justin Faulk Car - D,152
Andrei Svechnikov Car - RW,153
"Kevin Fiala Nsh - LW,RW",154
Mike Green Det - D,155
Derick Brassard Pit - C,156
"Travis Konecny Phi - LW,RW",157
Ryan O'Reilly StL - C,158
"Sam Reinhart Buf - C,RW",159
James Neal Cgy - RW,160
Casey Mittelstadt Buf - C,161
Nico Hischier NJ - C,162
Shea Theodore VGK - D,163
Philipp Grubauer Col - G,164
Ryan McDonagh TB - D,165
Mattias Ekholm Nsh - D,166
Tom Wilson Was - RW,167
Alexander Steen StL - RW,168
Alex Tuch VGK - RW,169
Pat Maroon StL - LW,170
Zdeno Chara Bos - D,171
"Tomas Hertl SJ - C,LW,RW",172
Brayden McNabb VGK - D,173
Nolan Patrick Phi - C,174
Brendan Gallagher Mon - RW,175
Dustin Brown LA - RW,176
David Krejci Bos - C,177
Elias Pettersson Van - C,178
Mats Zuccarello NYR - RW,179
Jack Johnson Pit - D,180
"Nick Foligno Cls - C,RW",181
"J.T. Miller TB - C,RW",182
Pavel Buchnevich NYR - RW,183
Olli Maatta Pit - D,184
Alex Killorn TB - LW,185
Kyle Palmieri NJ - RW,186
Joe Thornton SJ - C,187
Jakob Silfverberg Anh - RW,188
"David Backes Bos - C,RW",189
Esa Lindell Dal - D,190
Brian Elliott Phi - G,191
Mark Stone Ott - RW,192
Kyle Okposo Buf - RW,193
Ondrej Palat TB - LW,194
Alexander Edler Van - D,195
Curtis McElhinney Tor - G,196
"Conor Sheary Buf - LW,RW",197
Radko Gudas Phi - D,198
Brent Seabrook Chi - D,199
Josh Bailey NYI - RW,200
